"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,5257.561523,5243.719727,5229.879395,5216.040527,5202.204102,5188.369141,5173.449707,5158.531738,5132.297852,5098,5056.636719,5036.472656,5016.313477,4996.159668,4976.009766,4955.867188,4952.979004,4950.088867,4947.197266,4944.304199,4941.40918,4914.510742,4887.625,4860.750977,4833.890625,4807.042969,4718.585938,4630.185059,4541.842773,4453.560059,4365.340332,4302.824707,4240.311035,4177.799316,4115.291016,4052.784424,4019.147217,3982.686279,3945.546387,3908.44165,3871.371582,3833.974609,3796.698486,3759.548096,3722.528076,3685.64502,3687.924561,3689.426514,3690.919434,3692.403076,3693.878418,3688.74707,3683.593018,3678.416016,3673.216797,3667.995361,3670.508545,3668.865234,3667.218018,3665.56665,3663.911865,3660.153076,3656.393799,3652.633545,3648.872803,3645.111816,3644.093018,3643.073486,3641.204834,3638.505859,3635.809814,3632.707031,3629.604248,3626.501465,3623.398438,3620.295166,3613.532715,3606.773438,3600.017334,3593.263916,3586.513672,3588.780518,3591.045898,3593.310547,3595.57373,3597.835938
ALB,441.7797852,441.6379395,441.4960938,441.354187,441.2122192,441.0703125,440.0318604,438.9934692,437.9549561,436.9165039,435.9331665,434.9693604,434.0056152,433.0418396,432.0780334,431.1143188,429.3366394,427.5589905,425.78125,424.0036316,422.2259521,419.3077393,416.3894958,413.471283,410.5530701,407.6348267,406.107666,404.5805054,403.0532837,401.5260925,399.9989319,398.9994202,397.9998779,397.0003662,396.000885,395.0013123,394.6011963,394.2010193,393.8008423,393.4006348,393.0003662,391.0954285,389.1904602,387.2854614,385.3804626,383.4755249,382.3570251,381.2385559,380.1200256,379.0015564,377.8830566,376.910553,375.9385986,374.9670105,373.9953308,373.0237122,372.170166,371.3165588,370.4629822,369.609375,368.7557373,367.353363,365.9509277,364.5484924,363.1460266,361.7436523,360.9361877,360.1287537,359.3212585,358.5138245,357.7064209,356.934082,356.1618347,355.3895569,354.6173096,353.8450623,353.2333069,352.621521,352.0097961,351.3980713,350.7862854,349.6106873,348.4350891,347.2595215,346.0839233,344.9083557
DZA,619.8674316,616.9324951,613.9976196,611.0626221,608.1276855,605.192749,599.2230225,593.2531128,587.2833252,581.3134766,575.3434448,570.7131958,566.0830078,561.4528198,556.8226318,552.1925049,547.8231201,543.4552002,539.0874023,534.7194824,530.3517456,527.621582,524.8912964,522.3522339,519.84198,517.3292236,517.6724243,518.0155029,518.3587036,518.7017822,519.0450439,521.1787109,523.2227173,525.2666626,527.3106689,529.3547363,534.2501831,539.1454468,544.0405273,548.9355469,553.8303833,557.2266846,560.6225586,564.0181885,567.4143066,570.8283081,571.8311768,572.8340454,573.8369141,574.8399658,575.8433838,575.8458862,575.8485718,575.8510742,575.8538208,575.8566284,574.8416748,573.8267212,572.8118286,571.7967529,570.7817993,568.456543,566.1312866,563.8060913,561.4807739,559.1555176,555.772644,552.3899536,549.0072632,545.6245117,542.2418823,538.512146,534.7822266,531.0524902,527.3226318,523.5928955,519.3986206,515.2043457,511.0099792,506.8157043,502.6217957,497.8143311,493.0068665,488.1994629,483.3919983,478.5845642
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,19658.83789,19667.77734,19676.72852,19685.68945,19694.65625,19703.63477,19715.00195,19726.36719,19737.73828,19749.10547,19759.65625,19773.32422,19787.00391,19800.69336,19814.39648,19828.10938,19827.12891,19826.14648,19825.16016,19824.17188,19823.18164,19703.43164,19583.68164,19463.93164,19344.17969,19224.42773,19032.81836,18841.20508,18649.59766,18457.98633,18266.37695,18007.03906,17747.70117,17488.36523,17229.02734,16969.69141,16431.34961,15891.47266,15342.54688,14793.58887,14244.5918,13730.89746,13232.98145,12738.80273,12234.25,11731.36914,11290.3623,10849.44727,10415.79785,10009.84277,9605.800781,9370.014648,9134.289063,8898.629883,8669.753906,8454.613281,8448.939453,8443.264648,8437.59082,8431.916992,8426.243164,8412.452148,8398.989258,8386.272461,8373.556641,8360.842773,8327.173828,8293.541992,8259.945313,8226.384766,8192.862305,8150.469727,8108.079102,8065.693848,8023.311035,7980.930664,7928.601074,7876.270508,7823.941406,7771.611328,7719.30957,7653.622559,7589.222168,7524.92334,7460.730469,7396.644531
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,6984.24707,6895.778809,6807.313965,6717.798828,6620.87207,6522.391602,6433.979492,6345.63623,6256.835449,6168.376465,6080.802734,6001.103027,5921.382813,5841.640625,5761.874023,5682.509277,5645.202637,5607.903809,5570.629395,5533.597656,5496.537598,5474.466797,5452.178223,5430.541016,5408.469238,5386.591797,5360.334961,5334.069336,5307.79541,5281.516113,5255.519043,5232.547363,5209.576172,5186.606934,5163.638672,5140.672363,5108.410156,5076.126465,5043.825195,5011.507813,4979.175781,4944.856445,4910.573242,4876.32959,4842.126465,4807.966797,4793.709961,4779.600586,4765.499023,4751.405762,4737.322266,4731.216797,4725.104004,4718.981934,4712.852539,4706.714844,4691.484375,4676.252441,4661.021484,4645.791504,4630.561035,4625.477051,4620.711426,4616.152344,4612.130371,4608.552734,4596.672363,4584.799805,4572.951172,4561.127441,4549.311523,4539.305664,4529.29834,4519.291504,4509.284668,4499.276855,4490.73584,4482.193848,4473.651367,4465.599121,4457.589844,4447.431641,4437.264648,4427.086914,4416.899414,4406.701172
ARM,610.3113403,608.6450195,606.9786987,605.3125,603.6463013,601.9801636,599.6751099,597.3699951,595.0649414,592.7599487,590.4732666,588.213562,585.9539185,583.6943359,581.4345703,579.1748657,576.0802612,572.9855347,569.8908081,566.7962036,563.701416,562.0594482,560.4172974,558.7752075,557.1331177,555.4909668,553.1511841,550.8114624,548.4716797,546.131897,543.7920532,540.9508667,538.1095581,535.2683716,532.427063,529.5857544,527.8441162,526.102417,524.3607788,522.6190186,520.8773193,519.2744751,517.6715088,516.0686646,514.4657593,512.862854,508.9916077,505.1203918,501.2491455,497.3779297,493.5066833,492.4512024,491.3956909,490.3401184,489.284668,488.2291565,487.0813293,485.9335022,484.785675,483.6378784,482.4900208,481.2431335,479.9961853,478.7492676,477.5024109,476.2554016,475.2955627,474.3357544,473.375885,472.4159851,471.4561462,470.0810852,468.7060547,467.3309937,465.9559631,464.5808716,459.1524353,453.7240295,448.2955933,442.8671875,437.4387817,426.1560669,414.8733826,403.5907593,392.3081055,381.0253601
