"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,7966.89209,8000.834961,8034.321777,8067.353027,8099.929688,8132.053223,8077.477539,8022.884766,7968.277832,7913.658691,7859.026367,7865.083008,7871.068848,7877.026367,7882.956055,7888.85791,7950.655762,8012.384277,8074.047363,8135.649902,8197.201172,8199.870117,8202.68457,8205.642578,8208.744141,8211.990234,8214.842773,8217.719727,8220.620117,8223.543945,8226.494141,8231.256836,8235.757813,8239.999023,8243.985352,8247.71875,8304.446289,8361.415039,8418.634766,8476.110352,8533.845703,8570.273438,8606.754883,8643.290039,8679.881836,8716.53125,8739.016602,8761.919922,8785.245117,8808.957031,8832.921875,8862.84082,8892.926758,8923.179688,8953.59375,8984.166016,9009.488281,9034.887695,9060.367188,9085.922852,9111.554688,9129.680664,9147.758789,9165.793945,9183.782227,9201.726563,9214.538086,9227.322266,9240.080078,9252.813477,9265.522461,9274.972656,9284.442383,9293.927734,9303.430664,9312.953125,9332.230469,9351.525391,9370.837891,9390.171875,9409.527344,9462.97168,9516.34668,9569.662109,9622.923828,9676.137695
ALB,678.7650146,676.4423218,674.1161499,671.7866211,669.4536133,667.1173096,661.9347534,656.7521362,651.5695801,646.3869629,641.2043457,632.9630737,624.7218018,616.4805908,608.2392578,599.9979858,594.7376709,589.4772949,584.2168579,578.956543,573.6962891,572.2318115,570.767395,569.3028564,567.8383789,566.3738403,561.7423096,557.1105957,552.479126,547.8474121,543.2158203,539.9072266,536.5986938,533.2900391,529.9815674,526.6729126,525.5934448,524.5137329,523.4338989,522.3538208,521.2736206,519.9325562,518.5914917,517.2503662,515.9093018,514.5681763,511.6232605,508.6782227,505.7332458,502.788269,499.8433228,486.1896667,472.5361023,458.8824768,445.2288513,431.5752563,420.5480652,409.520874,398.4936829,387.4664917,376.4393311,376.4325256,376.4256897,376.4188843,376.4120178,376.4052124,376.3825684,376.3599243,376.3373108,376.3146973,376.2920227,372.645813,368.9996033,365.353363,361.7071228,358.0609131,356.8894043,355.717865,354.5463562,353.3748474,352.2033691,349.0766907,345.9500122,342.8233643,339.6967163,336.5700684
DZA,8245.833008,8134.056152,8022.279297,7910.501465,7798.725098,7686.953125,7606.653809,7526.336426,7446.619629,7367.304199,7288.001465,7292.251465,7298.31543,7305.350098,7312.382813,7319.415527,7463.636719,7607.563965,7750.92627,7893.86377,8036.64209,8093.945313,8151.292969,8208.69043,8266.141602,8323.65625,8365.519531,8407.329102,8449.085938,8490.791016,8532.446289,8571.466797,8610.458008,8649.420898,8688.355469,8727.260742,8787.066406,8846.860352,8906.644531,8966.420898,9026.191406,9047.845703,9069.507813,9091.171875,9112.84082,9134.513672,9151.995117,9169.476563,9186.958984,9204.439453,9221.919922,9243.626953,9265.333984,9287.041992,9308.75293,9330.463867,9352.463867,9374.464844,9396.46582,9418.464844,9440.46582,9459.205078,9477.945313,9496.685547,9515.424805,9534.164063,9554.290039,9574.416016,9594.541016,9614.666016,9634.791016,9662.738281,9690.688477,9718.639648,9746.59375,9774.548828,9849.597656,9924.651367,9999.708984,10074.77148,10149.83789,10164.3418,10178.84863,10193.35742,10207.87012,10222.38379
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,6120.757813,6161.788574,6202.952637,6244.25,6285.679688,6327.242188,6322.98291,6318.523438,6313.79834,6309.071777,6304.344238,6347.158203,6391.492676,6437.152832,6483.968262,6531.790527,6683.105469,6837.682129,6994.98877,7154.579102,7316.07959,7313.691406,7311.304199,7308.916504,7306.527832,7304.140625,7334.068848,7363.935059,7393.73877,7423.479492,7453.155762,7514.963867,7576.211426,7636.821777,7696.824219,7756.25293,7757.604004,7759.005859,7760.461426,7761.967773,7763.527344,7826.393066,7888.658203,7950.361328,8011.541992,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584,8072.23584
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,46613.04688,46647.21875,46681.42188,46715.64453,46749.88672,46784.15625,46854.19141,46924.23438,46994.29688,47064.36719,47134.46484,47371.41016,47610.11328,47848.82422,48087.48828,48326.10156,48524.09375,48721.87891,48919.48047,49116.59766,49312.86719,49587.87891,49862.91016,50137.96484,50413.01953,50686.16797,50785.49609,50884.66406,50983.67188,51082.52344,51181.21875,51271.03516,51360.8125,51450.55078,51540.26953,51629.94531,51771.51563,51913.01172,52054.42188,52195.75781,52337.00781,52477.44922,52613.84766,52745.73047,52877.19141,53008.26563,53185.76563,53363.0625,53540.15234,53717.02344,53893.6875,53985.63672,54077.5625,54169.49219,54261.41016,54353.32422,54506.70703,54659.53516,54811.83203,54963.62109,55114.92578,55214.97656,55314.82031,55414.50781,55514.04688,55613.43359,55661.375,55709.24609,55756.92188,55804.375,55851.625,55980.84375,56110.0625,56239.27734,56368.5,56497.71094,56627.71094,56757.73047,56887.78906,57017.875,57147.99219,57305.07422,57462.10156,57619.07422,57775.97656,57932.83594
ARM,469.5360413,469.4584351,469.3808899,469.3032227,469.2256165,469.1480713,468.955719,468.7634277,468.5711975,468.3789063,468.186615,461.5807495,454.9749146,448.3690796,441.7632141,435.1573792,430.3487244,425.5401306,420.7314453,415.922821,411.1141663,411.1141663,411.1141663,411.1141663,411.1141663,411.1141663,410.7815247,410.4489441,410.1163025,409.7836609,409.4510193,409.449707,409.4484253,409.4471436,409.4458923,409.4446106,409.4446106,409.4446106,409.4446106,409.4446106,409.4446106,409.1204834,408.7963867,408.472168,408.1480408,407.8238831,407.8258972,407.8279419,407.8299255,407.8319702,407.8340149,407.8337402,407.8335266,407.833313,407.8330994,407.8328552,407.8316345,407.8304749,407.8292542,407.828064,407.8268433,407.6022644,407.3776245,407.1530457,406.9284058,406.7038269,406.7015076,406.6992188,406.6969299,406.6946106,406.6923523,406.6923523,406.6923523,406.6923523,406.6923523,406.6923523,406.5924683,406.4925537,406.3927002,406.2928162,406.1929016,406.2433777,406.2938232,406.3442383,406.3946838,406.4451599
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,49715.19531,49804.51172,49893.84766,49983.19922,50072.56641,50161.95703,50201.83594,50241.73438,50281.64844,50321.58984,50361.53516,50407.49609,50453.42188,50499.31641,50545.17969,50591.01953,50597.9375,50604.84375,50611.76172,50618.67578,50625.59375,50621.24609,50616.90625,50612.5625,50608.22266,50603.87891,50579.96875,50556.05859,50532.15234,50508.23828,50484.32813,50442.63281,50400.9375,50359.23828,50317.54297,50275.84766,50265.5625,50255.28125,50244.98828,50234.69141,50224.39453,50182.64844,50140.89844,50099.15234,50057.40234,50015.66016,49938.13281,49860.60938,49783.08984,49705.5625,49628.04297,49539.00781,49449.97656,49360.94531,49271.90625,49182.875,49095.44531,49008.00781,48920.57422,48833.13672,48745.70703,48659.70703,48573.70313,48487.69922,48401.70703,48315.71094,48227.60938,48139.51172,48051.41016,47963.31641,47875.21484,47789.80859,47704.39844,47619.00781,47533.61328,47448.22266,47361.29297,47274.35938,47187.43359,47100.5,47013.56641,46923.5,46833.46484,46743.87891,46654.23047,46564.625
AUT,1397.348511,1396.725952,1396.103638,1395.481079,1394.858643,1394.236084,1410.490967,1426.742432,1442.990356,1459.234741,1475.475586,1469.927124,1464.378784,1458.830444,1453.281982,1447.733765,1439.372681,1431.011719,1422.650757,1414.289795,1405.928711,1401.191162,1396.453369,1391.715576,1386.977905,1382.23999,1386.540771,1390.858276,1395.192383,1399.54126,1403.890015,1402.231934,1400.573853,1398.915894,1397.25769,1395.599731,1409.704224,1423.816406,1437.936279,1452.063599,1466.19873,1467.792725,1469.386353,1470.980347,1472.574219,1474.168091,1471.006714,1467.845215,1464.683716,1461.522095,1458.360474,1456.549316,1454.738281,1452.927124,1451.115845,1449.304565,1448.68396,1448.063477,1447.442993,1446.822266,1446.201538,1441.99292,1437.784058,1433.575317,1429.366455,1425.157715,1420.267212,1415.376465,1410.485962,1405.595459,1400.704834,1392.342651,1383.980469,1375.618164,1367.255859,1358.893555,1349.406738,1339.9198,1330.432983,1320.946167,1311.459106,1304.21228,1296.965332,1289.718506,1282.471191,1275.224243
AZE,2332.843262,2329.968018,2327.093018,2324.218018,2321.343018,2318.468018,2309.897949,2301.327881,2292.757813,2284.1875,2275.617188,2267.231689,2258.845947,2250.460449,2242.074463,2233.688965,2219.866211,2206.043701,2192.220703,2178.397949,2164.575439,2164.575195,2164.575195,2164.575195,2164.575195,2164.575195,2156.516113,2148.45752,2140.398438,2132.3396,2124.280518,2106.951172,2089.622314,2072.292969,2054.964111,2037.63501,2034.180542,2030.725952,2027.271118,2023.816772,2020.362183,2020.209717,2020.057007,2019.904785,2019.751953,2019.599609,2019.602051,2019.604492,2019.607056,2019.609375,2019.611816,2018.562744,2017.513306,2016.463989,2015.414917,2014.365601,2014.363892,2014.362305,2014.360718,2014.359131,2014.357666,2014.063477,2013.769409,2013.47522,2013.180908,2012.886841,2020.309082,2027.722534,2035.126953,2042.522583,2049.909668,2049.909668,2049.909668,2049.909668,2049.909668,2049.909668,2049.10376,2048.297607,2047.491577,2046.685547,2045.879761,2045.894897,2045.9104,2045.925659,2045.94104,2045.956299
BHS,3.303466082,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303468704,3.303466082,3.303468227,3.303466082,3.303468227,3.303466082,3.303468227,3.303466082,3.303468227,3.303466082,3.303471565,3.303469419,3.303471565,3.303469419,3.303471565,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303471565,3.303469419,3.303471565,3.303469419,3.303471565,3.29430747,3.272123098,3.249735594,3.227147818,3.204342842,3.18327713,3.161439419,3.138769627,3.11517477,3.090571404,3.062910318,3.034706116,3.00591588,2.976510286,2.946437597,2.946439505,2.94643712,2.946439505,2.94643712,2.946439505,2.871252298,2.749071121,2.626801252,2.5044415,2.381968975,2.381970882,2.381968737,2.381970882,2.381968737,2.381970882,2.381969452,2.38196969,2.381968021,2.38196969,2.381968021,2.381970167,2.381968021,2.381970167,2.381968021,2.381970167,2.38196826,2.381970644,2.38196826,2.381970644,2.38196826,2.381970882,2.381967306,2.381969213,2.381967306,2.381969452,2.381968737,2.381970882,2.381968737,2.381970882,2.381968737
