"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,13224.45508,13292.25195,13373.59082,13454.76563,13537.80469,13620.27832,13619.85254,13602.66211,13582.64453,13570.71387,13553.49121,13541.15039,13531.31641,13515.75586,13521.36621,13519.26172,13545.79395,13563.09766,13609.97266,13651.54688,13668.42969,13705.01563,13725.71191,13769.98145,13797.52734,13813.74121,13820.34082,13847.39746,13870.48145,13889.84961,13895.0166,13901.61426,13935.58301,13990.14355,14020.57227,14073.0752,14080.80566,14089.03125,14098.30273,14120.73047,14149.30859,14168.26172,14171.15234,14189.93848,14206.5,14232.39746,14228.28418,14239.17773,14231.38086,14229.13281,14218.84961,14229.68066,14239.8623,14228.66211,14229.07227,14232.57031,14254.24707,14296.28613,14296.5498,14301.45605,14306.42188,14303.54199,14302.3916,14308.69531,14333.11426,14335.29199,14341.49805,14344.86426,14350.20605,14356.11426,14387.31152,14407.90527,14425.34668,14447.55469,14483.81152,14503.4248,14536.2998,14557.89063,14583.09668,14604.16699,14624.6377,14663.09375,14702.11719,14737.34082,14776.75293,14835.05469
ALB,1120.544922,1118.227905,1129.038574,1138.817993,1145.212524,1150.460815,1149.451538,1153.997314,1152.68457,1151.37146,1147.115112,1146.429077,1145.743164,1145.056885,1144.370361,1143.68396,1144.912231,1140.124268,1141.303101,1142.482178,1143.661133,1143.461914,1143.262695,1143.063477,1142.864258,1142.275269,1141.887817,1141.015869,1140.143677,1139.271484,1138.39917,1137.089966,1135.780029,1134.910522,1130.350464,1128.995239,1132.895264,1136.794922,1140.69397,1144.592651,1148.01355,1149.166748,1151.084961,1153.003174,1154.921021,1156.838867,1155.53125,1154.223511,1152.915894,1151.608032,1150.300293,1149.727905,1149.155518,1148.169434,1147.187012,1146.617798,1145.221069,1143.824341,1142.427734,1141.048218,1139.296631,1136.134155,1132.971558,1127.851074,1124.690308,1121.529297,1114.776245,1109.768921,1104.761353,1098.091553,1093.097534,1087.045776,1080.994019,1074.942261,1067.382202,1059.598022,1052.395386,1042.286865,1034.89978,1027.526978,1020.34137,1015.097412,1010.160645,1000.765076,995.6100464,989.8097534
DZA,8865.700195,8905.40332,8945.261719,8984.862305,9024.248047,9063.629883,9031.251953,8998.765625,8966.273438,8933.779297,8901.266602,8882.498047,8863.722656,8844.955078,8826.198242,8807.441406,8816.277344,8825.114258,8833.950195,8842.787109,8851.623047,8880.772461,8909.929688,8939.087891,8968.245117,8997.399414,9020.188477,9042.49707,9064.804688,9087.117188,9109.432617,9143.858398,9178.291016,9212.730469,9247.172852,9281.623047,9304.680664,9327.783203,9350.898438,9374.022461,9397.170898,9439.035156,9480.905273,9522.768555,9565.972656,9607.839844,9630.230469,9652.619141,9675.009766,9697.40918,9719.807617,9749.317383,9778.832031,9808.348633,9837.874023,9867.398438,9904.84668,9942.297852,9979.75293,10017.21191,10054.67969,10096.48047,10138.28418,10180.11719,10221.95313,10263.79492,10314.11328,10364.44141,10414.78027,10465.12988,10515.48828,10577.95215,10640.42969,10703.35254,10765.86133,10830.54492,10910.06152,10990.16895,11072.02148,11159.25293,11253.71875,11375.86523,11505.58008,11631.08887,11761.86816,11888.00293
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,25779.59375,26098.37305,26445.03125,26753.44531,27093.37891,27427.89648,27792.73242,28250.84375,28745.77734,29162.31836,29556.48438,29948.45313,30352.85938,30812.06836,31146.62891,31452.55664,31790.36719,32149.09961,32531.36719,32842.875,33258.51172,33738.49609,34068.71875,34484.94922,34813.36328,35243.12891,35627.63672,36007.76953,36354.12109,36665.42188,36987.98828,37425.25781,37864.36328,38281.72656,38763.80078,39304.375,39745.01953,40268.50781,40693.78516,41123.83594,41688.80469,42117.13672,42556.82031,43060.10156,43528.07422,44106.54297,44521.65234,44980.51953,45423.13672,45850.70313,46256.32422,46723.53125,47043.09766,47492.26563,47898.39063,48339.9375,48654.07813,49132.56641,49594.90625,49955.62891,50377.63281,50744.71094,51150.95703,51494.73828,51818.01953,52145.69922,52505.95703,52862.8125,53209.58984,53590.08984,53847.11328,54165.89063,54445.11328,54785.5625,55053.63281,55332.53125,55599.41016,55876.85547,56137.93359,56452.60156,56701.75391,56957.73047,57222.8125,57525.13281,57789.95313,58036.60156
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,53597.30078,54053.05469,54496.95313,54947.48828,55401.375,55854.67969,55838.36328,55819.97656,55802.53516,55783.8125,55776.57813,55795.01172,55817.83203,55842.19141,55866.46875,55885.08984,55904.76563,55924.5625,55945.41016,55963.89844,55981.16797,55981.23438,55976.24219,55977.95703,55981.05469,55977.74219,55934.11328,55890.50781,55841.39844,55794,55751.67578,55658.01172,55555.33203,55460.5625,55357.44531,55260.36719,55352.27734,55437.73438,55530.40625,55616.57422,55705.73438,55727.28906,55745.78906,55764.86328,55783.93359,55803.12109,55736.69922,55671.52344,55604.44531,55537.90625,55473.92188,55415.56641,55359.56641,55303.61328,55240.87891,55180.04688,55089.35156,54990.76563,54899.6875,54806.10938,54707.53125,54553.16797,54389.08984,54227.11328,54065.07422,53907.8125,53710.08984,53505.37891,53296.91016,53094.21094,52894.96484,52650.20703,52425.5,52197.15234,51965.13281,51738.01563,51478.67969,51221.32422,50969.83594,50714.38672,50461.70703,50239.60938,50018.97656,49801.5625,49580.37891,49359.17188
ARM,1079.847412,1086.966797,1092.848267,1098.895142,1103.506592,1111.115234,1107.4552,1103.794922,1100.133545,1093.272827,1089.53186,1089.143799,1088.7146,1088.291016,1087.86853,1087.454224,1093.724854,1099.992432,1106.260132,1112.5271,1118.800293,1121.253784,1123.988037,1126.721191,1129.457031,1132.197998,1133.072266,1133.947021,1135.789551,1137.715942,1139.648804,1141.752808,1143.853394,1145.960693,1148.074219,1150.192993,1154.733154,1159.278931,1163.828979,1167.802734,1172.360474,1177.151123,1181.386475,1186.184814,1190.447266,1195.25415,1196.719849,1198.186401,1199.653442,1201.121582,1202.590332,1206.062012,1209.029785,1212.503784,1215.979858,1218.962769,1222.942017,1226.921753,1230.901489,1234.881958,1238.863159,1242.275635,1245.688965,1249.10376,1252.519409,1255.936279,1259.569458,1263.197876,1266.40271,1270.031006,1273.660767,1277.666626,1280.119507,1284.137451,1288.157471,1292.180542,1295.700195,1298.93457,1303.19397,1308.073364,1313.111084,1321.038818,1329.496094,1337.46228,1345.468994,1353.473145
