Labour Force Participation Ratio [15-64],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,NaN,48.039,48.031,48,47.957,47.92,47.856,47.81,47.789,47.788,47.795,47.84,47.909,47.991,48.079,48.169,48.098,48.054,48.018,47.978,47.952,48.005,48.08,48.176,48.268,48.358,48.449,48.541,46.738,44.939,42.609,42.224,38.5
ALB,NaN,69.274,69.963,69.319,68.804,67.988,67.498,68.47,67.997,67.313,67.038,66.711,66.68,65.791,64.889,63.963,63.005,62.024,61.024,63.439,63.848,68.617,64.927,60.254,61.926,64.775,66.911,67.665,69.035,70.373,67.363,68.684,71.367
DZA,NaN,46.078,46.237,46.606,46.921,47.004,47.154,47.046,46.878,46.622,46.367,46.11,45.864,45.621,45.365,45.116,44.849,44.582,44.309,44.029,44.294,44.507,44.73,46.094,43.574,44.71,45,45.066,45.14,45.256,42.824,43.413,45.641
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,NaN,77.84,77.83,77.747,77.734,77.744,77.781,77.786,77.77,77.735,77.696,77.696,77.715,77.693,77.696,77.715,77.76,77.808,77.844,77.84,77.844,77.83,77.597,77.361,77.122,76.881,76.64,76.397,76.153,75.908,76.009,77.327,76.156
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,NaN,66.457,67.34,68.248,68.875,68.425,69.004,69.875,70.238,69.703,69.497,68.823,67.255,68.213,69.193,68.53,68.908,68.372,67.822,68.175,67.626,68.216,68.137,67.737,67.001,66.813,66.619,66.423,67.385,68.081,63.66,68.699,68.413
ARM,NaN,70.042,70.114,70.13,70.128,70.113,70.075,70.051,70.03,69.95,69.826,69.695,69.522,69.335,69.168,69.003,68.845,68.706,68.412,69.04,69.111,69.154,69.192,69.395,69.636,69.964,70.371,70.725,71.053,72.818,72.361,73.386,72.719
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,NaN,72.915,72.761,72.521,73.138,73.909,73.977,73.531,73.454,73.254,73.71,73.956,74.057,74.41,74.296,75.335,75.77,76.155,76.474,76.377,76.411,76.616,76.394,76.379,76.28,76.909,76.908,77.422,77.991,78.435,77.697,78.818,79.521
AUT,NaN,67.959,68.839,68.986,71.342,71.937,71.406,71.087,71.602,71.829,71.427,70.849,71.719,71.992,70.951,71.731,72.682,73.776,74.216,74.642,74.676,74.857,75.421,75.81,75.689,75.793,76.561,76.709,77.132,77.392,77.032,77.776,78.469
AZE,NaN,76.639,78.45,80.575,82.542,83.786,83.889,83.639,83.104,82.744,82.096,79.96,77.927,75.893,73.544,71.882,70.102,66.758,65.368,65.403,65.138,65.379,65.83,66.218,67.212,67.937,69.334,70.091,70.8,74.124,73.303,74.299,76.589
BHS,NaN,76.001,76.695,77.366,78.005,78.259,78.468,78.799,78.655,79.178,79.351,79.472,79.576,79.492,79.471,79.573,79.661,79.665,79.49,79.242,79.203,79.137,79.19,79.011,79.003,78.968,79.002,79.107,79.224,79.281,73.872,76.277,78.164
BHR,NaN,66.932,66.874,66.787,66.708,66.665,66.668,66.729,66.874,67.132,67.511,67.99,68.545,68.948,69.102,69.318,69.797,70.514,71.406,72.386,73.07,72.484,72.836,72.965,72.598,72.523,72.961,73.498,73.958,74.151,73.269,73.631,74.131
BGD,NaN,59.089,59.136,59.203,59.282,59.368,59.334,59.314,59.308,59.317,59.329,59.312,59.318,59.34,59.367,59.394,59.353,59.192,59.032,58.87,58.707,58.545,58.382,58.213,58.043,57.882,57.731,60.402,60.644,60.865,60.351,61.236,60.881
BRB,NaN,76.834,76.049,76.911,77.79,78.567,77.509,78.44,78.331,78.332,79.27,80.179,78.897,79.681,80.012,79.784,77.759,77.609,77.419,77.495,77.554,77.587,76.188,76.571,74.074,74.056,75.65,74.809,73.908,73.27,72.011,72.782,74.369
BLR,NaN,68.591,68.765,68.913,69.287,69.74,69.759,69.584,69.589,69.768,70.489,71.126,71.659,72.114,72.512,72.906,73.291,73.653,74,74.314,74.648,75.093,75.618,76.154,76.681,77.142,77.547,77.932,78.152,78.354,78.497,78.826,79.331
