"Land Use, Cropland (1,000ha)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,NaN,NaN,5847.337913,5846.884734,5846.45504,5851.912315,5865.726862,5871.215792,5884.85647,5910.924306,5898.313954,5860.161422,5849.88679,5839.036414,5843.885153,5876.511231,5874.205684,5883.58103,5894.982759,5910.581922,5917.517936,5918.584947,5922.737337,5923.061745,5920.704987,5918.811558,5882.812496,5865.658311,5857.785916,5872.678,5871.897148,5870.103311,NaN
ALB,NaN,NaN,1180.968308,1180.812693,1180.630323,1184.386726,1183.53041,1182.461946,1181.938664,1178.884572,1168.023573,1166.098868,1166.048632,1163.916193,1160.258618,1159.505526,1156.873585,1156.616346,1150.66141,1148.557733,1148.082769,1148.38731,1147.784759,1146.861326,1145.96388,1145.148084,1137.805164,1136.327657,1123.255441,1118.144642,1115.653136,1113.985712,NaN
DZA,NaN,NaN,8901.029343,8899.762654,8898.281244,8905.759078,8908.76576,8909.836524,8909.870118,8928.288243,8930.87561,8949.681325,8952.978731,9042.035426,9386.11626,9448.862166,9465.77238,9496.753816,9537.617284,9760.285872,9820.958143,9849.240014,9899.286921,9899.240742,9901.042029,9896.721201,9876.035321,9863.57391,9856.677519,9842.962454,9842.207132,9837.011535,NaN
ASM,NaN,NaN,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,5.763686192,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,NaN,NaN,5611.501812,5611.409429,5611.378268,5606.446709,5607.705499,5632.64997,5670.894938,5751.901459,5745.772596,5717.864474,5761.537211,5771.860377,5758.249293,5752.199202,5786.953596,5820.519385,5831.637045,5866.866064,5885.444017,5888.143664,5895.441258,5896.524895,5899.187613,5898.703571,5897.501616,5901.0294,5952.211843,6019.7093,6051.757118,6062.062152,NaN
AIA,NaN,NaN,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,0.036561978,NaN
ATG,NaN,NaN,1.381334433,1.381334433,1.364068072,1.346801498,1.346801498,1.339985767,1.339985767,1.339985767,1.339985767,1.251344025,1.203619613,1.143175777,1.129540603,1.120907434,1.112274502,1.112274502,1.096397507,1.094125691,1.094125691,1.094125691,1.085492331,1.06824941,1.110097763,1.110097763,1.110097763,1.127316198,1.188484399,1.188484399,1.188484399,1.188484399,NaN
ARG,NaN,NaN,51234.50603,51229.0098,51223.22156,51447.58792,51602.99146,51840.69675,52228.84777,52820.02872,53047.85209,53475.88787,53679.53765,53966.28636,54262.19638,54426.06724,54507.38158,54573.38691,54657.76748,54697.15424,54732.01383,54757.62037,54764.49913,54732.88555,54687.83679,54683.62868,54604.61291,54587.48613,54606.89306,54609.45343,54596.77322,54653.17998,NaN
ARM,NaN,NaN,919.7057809,919.4989024,919.2432459,940.2563376,940.8193249,941.5680209,946.9492223,946.8815075,945.0988006,946.3661748,944.3154486,943.4438534,943.3410974,942.7188019,943.0113749,942.5475424,943.0309404,942.4935033,942.033337,941.523961,942.8974527,941.8791338,939.9526865,938.9894191,930.1586128,927.9388974,926.5506464,926.2303929,925.3652438,924.8297837,NaN
ABW,NaN,NaN,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.095095231,1.08814051,NaN
AUS,NaN,NaN,50849.16818,50846.06389,50843.1205,50991.92239,51002.87663,51089.83587,51276.58819,51812.33639,52423.95604,52749.31809,52989.8441,53206.86897,53247.43344,53237.23008,53222.70883,53232.63446,53230.93232,53241.69888,53256.03484,53296.95875,53300.07487,53296.95435,53299.25952,53297.50188,53317.88199,53325.1728,53322.08445,53317.25567,53331.63639,53345.44541,NaN
AUT,NaN,NaN,1763.305704,1761.558503,1759.668994,1748.479413,1744.07027,1740.656895,1740.205879,1759.212054,1759.782407,1753.613773,1742.358856,1726.346363,1726.558678,1727.413748,1726.477946,1725.822179,1724.455638,1723.720189,1730.174287,1733.241822,1734.264995,1736.448077,1741.855728,1741.834069,1740.150001,1740.230823,1740.702456,1738.277323,1744.286195,1745.178259,NaN
