"GDP per capita, PPP (constant 2017 international $)",2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ALB,17527.2,21493.1,25986.4,30860.6,35859.2,40652.5,45322.4,50068.4,55000,60138.6,65111.8,69917.7,74625.1,79374.8,84160.9,88989.1
DZA,11572.1,11841.2,12427.1,12801.7,13121.9,13609.3,14400.1,15497.7,16907.1,18486.4,20203.8,22063.7,24153.1,26583.6,29417.2,32653.9
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,5869.55,6053.13,6370.91,6670.88,7091.1,7685.97,8468.73,9393.63,10482.2,11737.2,13170.9,14804.4,16659.8,18759.1,21039.1,23484.8
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,24396.2,27301.7,30908.7,35326.8,40715.4,46717.6,53333.4,60569.8,68591.3,77226.9,86576.9,96677.5,107593,119378,132085,145770
ARG,18665.3,20497.7,22214.1,24287.3,26915.6,30078.4,33758.7,37860.9,42402.5,47345.1,52652.3,58353.6,64504.1,71129.7,78211.3,85707.3
ARM,19032.9,24269.6,30147.9,35865.1,41017.2,45595.5,49931.2,54467.2,59330.2,64109.1,68313,72372,76458.9,80684.9,85077,89675.6
ABW,42253.2,43855,46369,49322.3,52813.6,56811.7,61344.1,66318.4,71686.3,77200.8,83055.5,89470.5,96550.8,104320,112746,121816
AUS,52212.1,57788.7,64745.8,72837.9,81375.4,89200.2,96296.5,103180,110071,116792,123228,129381,135318,141095,146706,152084
AUT,53742.7,59045.5,63559.8,68215.2,72549.5,76219.7,79631.6,83160.6,86889.9,90539.9,94024.1,97312.5,100430,103382,106174,108792
AZE,15770.2,17560.3,19349.1,21257.5,23621.3,26508.1,29800.6,33536,37679,42182,47017.6,52215.6,57820.6,63842.4,70199.9,76885
BHS,36839.1,38814.6,41266.5,44228.4,47818.9,51784.5,56082.5,60654.8,65552.4,70775.5,76357.7,82354.5,88829.9,95772.7,103185,111075
BHR,51425.2,54798.5,58990.6,62638.1,66219.9,69756.1,73815.3,78441.9,83735.6,89026.3,94453.3,100082,105992,112342,119241,126738
BGD,7788.27,10390.2,13058.3,15420.4,17592.5,19775.9,22047.4,24444.4,27041.1,29751.2,32596.8,35477.7,38385.6,41390.2,44556.6,47873.3
BRB,16756.9,18397,20569,23641.6,27526.5,31903.6,36621.2,41617.4,46928.7,52509.1,58446,64760.1,71485.1,78581.1,86071.6,94039.3
BLR,19644.3,20901.2,22597.6,24593.3,26845,29287.2,32080.7,35335.6,39056.7,43075.9,47308.8,51788,56570.3,61728,67284,73252.7
BEL,51938.3,56007.1,59575.4,62759.8,65532.3,67991.9,70454.2,73174.9,76107.9,78927.7,81549.5,84007.2,86374.8,88701.2,90970.4,93132.6
BLZ,10190.8,10789.1,12064.9,13945.4,16477,19568.5,23196.8,27379.6,32207.9,37645.8,43713.8,50324.9,57457.4,65112.7,73340.4,82208.4
BEN,3786.71,4459.37,5302.76,6104.33,6924.89,7823.29,8851.98,10033.5,11384.7,12950.3,14754,16864.8,19284,22072.1,25206.4,28701.8
