"Land Use, Cropland (1,000ha)",2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,22332.5,22430.25,22528,22625.75,22723.5,22821.25,22919,23233.83333,23548.66667,23863.5,24178.33333,24493.16667,24808,24808,24808,24808
ALB,1377,1376.233333,1375.466667,1374.7,1373.933333,1373.166667,1372.4,1374.8,1377.2,1379.6,1382,1384.4,1386.8,1386.8,1386.8,1386.8
DZA,14542.7,14367.16667,14191.63333,14016.1,13840.56667,13665.03333,13489.5,13521.36667,13553.23333,13585.1,13616.96667,13648.83333,13680.7,13680.7,13680.7,13680.7
ASM,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
AND,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
AGO,58269.8,58275.98333,58282.16667,58288.35,58294.53333,58300.71667,58306.9,58293.2,58279.5,58265.8,58252.1,58238.4,58224.7,58224.7,58224.7,58224.7
AIA,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
ATG,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6
ARG,138657.2,138423.6333,138190.0667,137956.5,137722.9333,137489.3667,137255.8,137251.0167,137246.2333,137241.45,137236.6667,137231.8833,137227.1,137227.1,137227.1,137227.1
ARM,1722.4,1728.7,1735,1741.3,1747.6,1753.9,1760.2,1761.316667,1762.433333,1763.55,1764.666667,1765.783333,1766.9,1766.9,1766.9,1766.9
ABW,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
AUS,407120,406675.1667,406230.3333,405785.5,405340.6667,404895.8333,404451,402114.0167,399777.0333,397440.05,395103.0667,392766.0833,390429.1,390429.1,390429.1,390429.1
AUT,2816.1,2816.616667,2817.133333,2817.65,2818.166667,2818.683333,2819.2,2818.983333,2818.766667,2818.55,2818.333333,2818.116667,2817.9,2817.9,2817.9,2817.9
AZE,5829.3,5851.65,5874,5896.35,5918.7,5941.05,5963.4,5950.716667,5938.033333,5925.35,5912.666667,5899.983333,5887.3,5887.3,5887.3,5887.3
BHS,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2
BHR,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
BGD,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7
BRB,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4
BLR,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383
BEL,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6
BLZ,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3
BEN,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745
BTN,153,153.1666667,153.3333333,153.5,153.6666667,153.8333333,154,154.05,154.1,154.15,154.2,154.25,154.3,154.3,154.3,154.3
BOL,38436,38408.88333,38381.76667,38354.65,38327.53333,38300.41667,38273.3,38295.58333,38317.86667,38340.15,38362.43333,38384.71667,38407,38407,38407,38407
BES,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9
BIH,2606.3,2606.6,2606.9,2607.2,2607.5,2607.8,2608.1,2608.333333,2608.566667,2608.8,2609.033333,2609.266667,2609.5,2609.5,2609.5,2609.5
BWA,34586.6,34576.75,34566.9,34557.05,34547.2,34537.35,34527.5,34527.81667,34528.13333,34528.45,34528.76667,34529.08333,34529.4,34529.4,34529.4,34529.4
BRA,310829.5,310917.45,311005.4,311093.35,311181.3,311269.25,311357.2,311322.4833,311287.7667,311253.05,311218.3333,311183.6167,311148.9,311148.9,311148.9,311148.9
VGB,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
BRN,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7
BGR,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5
BFA,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8
BDI,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5,2126.5
CPV,87.1,86.91666667,86.73333333,86.55,86.36666667,86.18333333,86,86.11666667,86.23333333,86.35,86.46666667,86.58333333,86.7,86.7,86.7,86.7
KHM,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1
CMR,25383.3,25383.38333,25383.46667,25383.55,25383.63333,25383.71667,25383.8,25383.83333,25383.86667,25383.9,25383.93333,25383.96667,25384,25384,25384,25384
CAN,87545.6,89291.31667,91037.03333,92782.75,94528.46667,96274.18333,98019.9,97469.45,96919,96368.55,95818.1,95267.65,94717.2,94717.2,94717.2,94717.2
CYM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
CAF,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6
TCD,68846.6,68845.78333,68844.96667,68844.15,68843.33333,68842.51667,68841.7,69049.88333,69258.06667,69466.25,69674.43333,69882.61667,70090.8,70090.8,70090.8,70090.8
CHL,12607.1,12588.71667,12570.33333,12551.95,12533.56667,12515.18333,12496.8,12533.41667,12570.03333,12606.65,12643.26667,12679.88333,12716.5,12716.5,12716.5,12716.5
CHN,339064.2,340298.1667,341532.1333,342766.1,344000.0667,345234.0333,346468,346247.65,346027.3,345806.95,345586.6,345366.25,345145.9,345145.9,345145.9,345145.9
HKG,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9
MAC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COL,44528.7,44538.25,44547.8,44557.35,44566.9,44576.45,44586,44585.2,44584.4,44583.6,44582.8,44582,44581.2,44581.2,44581.2,44581.2
COM,104.1,103.65,103.2,102.75,102.3,101.85,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4,101.4
COG,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1,11251.1
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,2250.6,2250.783333,2250.966667,2251.15,2251.333333,2251.516667,2251.7,2251.7,2251.7,2251.7,2251.7,2251.7,2251.7,2251.7,2251.7,2251.7
CIV,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583
HRV,3214.3,3214.933333,3215.566667,3216.2,3216.833333,3217.466667,3218.1,3218.316667,3218.533333,3218.75,3218.966667,3219.183333,3219.4,3219.4,3219.4,3219.4
CUB,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4,7135.4
CUW,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8
CYP,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389
CZE,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8,4902.8
PRK,6118,6119.25,6120.5,6121.75,6123,6124.25,6125.5,6125.35,6125.2,6125.05,6124.9,6124.75,6124.6,6124.6,6124.6,6124.6
COD,58743.5,58742.73333,58741.96667,58741.2,58740.43333,58739.66667,58738.9,58738.66667,58738.43333,58738.2,58737.96667,58737.73333,58737.5,58737.5,58737.5,58737.5
DNK,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3,3303.3
DJI,338.7,355.9,373.1,390.3,407.5,424.7,441.9,439.5166667,437.1333333,434.75,432.3666667,429.9833333,427.6,427.6,427.6,427.6
DMA,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
DOM,2361.4,2361.366667,2361.333333,2361.3,2361.266667,2361.233333,2361.2,2361.3,2361.4,2361.5,2361.6,2361.7,2361.8,2361.8,2361.8,2361.8
ECU,10482.4,10485.08333,10487.76667,10490.45,10493.13333,10495.81667,10498.5,10497.9,10497.3,10496.7,10496.1,10495.5,10494.9,10494.9,10494.9,10494.9
EGY,3261.3,3260.766667,3260.233333,3259.7,3259.166667,3258.633333,3258.1,3258.083333,3258.066667,3258.05,3258.033333,3258.016667,3258,3258,3258,3258
SLV,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2,1681.2
GNQ,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9,976.9
ERI,7219.1,7249.616667,7280.133333,7310.65,7341.166667,7371.683333,7402.2,7394.033333,7385.866667,7377.7,7369.533333,7361.366667,7353.2,7353.2,7353.2,7353.2
EST,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1,1744.1
SWZ,1085.3,1085.283333,1085.266667,1085.25,1085.233333,1085.216667,1085.2,1085.216667,1085.233333,1085.25,1085.266667,1085.283333,1085.3,1085.3,1085.3,1085.3
ETH,87919.3,88022.18333,88125.06667,88227.95,88330.83333,88433.71667,88536.6,88721.55,88906.5,89091.45,89276.4,89461.35,89646.3,89646.3,89646.3,89646.3
FLK,900.9,901.0333333,901.1666667,901.3,901.4333333,901.5666667,901.7,901.8166667,901.9333333,902.05,902.1666667,902.2833333,902.4,902.4,902.4,902.4
FRO,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3
FJI,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1,622.1
FIN,4321.9,4341.95,4362,4382.05,4402.1,4422.15,4442.2,4466.4,4490.6,4514.8,4539,4563.2,4587.4,4587.4,4587.4,4587.4
FRA,34713.6,34714.13333,34714.66667,34715.2,34715.73333,34716.26667,34716.8,34716.88333,34716.96667,34717.05,34717.13333,34717.21667,34717.3,34717.3,34717.3,34717.3
GUF,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8
PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5,2403.5
GMB,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6,524.6
GEO,2613.6,2614.35,2615.1,2615.85,2616.6,2617.35,2618.1,2618.283333,2618.466667,2618.65,2618.833333,2619.016667,2619.2,2619.2,2619.2,2619.2
DEU,22102.6,22102.61667,22102.63333,22102.65,22102.66667,22102.68333,22102.7,22102.7,22102.7,22102.7,22102.7,22102.7,22102.7,22102.7,22102.7,22102.7
GHA,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027,12027
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
