Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,0.732366151,0.724992302,0.717618453,0.710244604,0.699958503,0.689672402,0.679719302,0.669766202,0.660215926,0.65066565,0.641568976,0.632472302,0.62386245,0.615252598,0.607147455,0.599042312
ALB,0.385089267,0.391298534,0.3975078,0.403717067,0.392948735,0.382180403,0.372344587,0.362508771,0.353527947,0.344547123,0.336344615,0.328142107,0.320644656,0.313147205,0.306286421,0.299425637
DZA,0.268940978,0.275211956,0.281482934,0.287753912,0.285302227,0.282850542,0.281373725,0.279896907,0.279000697,0.278104486,0.27755813,0.277011773,0.276677763,0.276343753,0.276139206,0.275934659
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,0.335067535,0.33838507,0.341702605,0.34502014,0.337562341,0.330104541,0.324028745,0.317952948,0.312973101,0.307993253,0.303889084,0.299784914,0.296385717,0.29298652,0.29015894,0.287331359
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,0.068012343,0.057134687,0.04625703,0.035379373,0.031313712,0.027248051,0.024096521,0.020944991,0.01851043,0.016075868,0.01420015,0.012324431,0.010882228,0.009440024,0.008332884,0.007225744
ARM,0.349864924,0.332859848,0.315854771,0.298849695,0.29546116,0.292072624,0.289939863,0.287807101,0.286452764,0.285098427,0.28423343,0.283368433,0.282813905,0.282259377,0.281903024,0.28154667
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,0.119724708,0.101859415,0.083994123,0.06612883,0.060934384,0.055739937,0.051320558,0.046901179,0.043153342,0.039405505,0.036235862,0.033066218,0.030391772,0.027717325,0.025465119,0.023212913
AUT,0.384578064,0.356636127,0.328694191,0.300752254,0.299638795,0.298525336,0.297891637,0.297257938,0.296896081,0.296534224,0.2963272,0.296120175,0.296001603,0.295883031,0.295815077,0.295747122
AZE,0.434443073,0.432856146,0.431269218,0.429682291,0.421099443,0.412516595,0.403930505,0.395344415,0.386778995,0.378213575,0.3696933,0.361173025,0.352722634,0.344272242,0.335916421,0.3275606
BHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGD,0.62431305,0.630396099,0.636479149,0.642562198,0.63010872,0.617655241,0.605548338,0.593441435,0.581757058,0.570072681,0.558866854,0.547661026,0.536971418,0.52628181,0.516130027,0.505978243
BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLR,0.209056398,0.212942796,0.216829194,0.220715592,0.216604189,0.212492785,0.208860746,0.205228707,0.202006019,0.198783331,0.195912259,0.193041187,0.19047382,0.187906452,0.185602785,0.183299117
BEL,0.019078106,0.018946213,0.018814319,0.018682425,0.017715695,0.016748965,0.015880752,0.015012538,0.014233105,0.013453671,0.012754181,0.012054691,0.011427142,0.010799592,0.010236741,0.00967389
BLZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BEN,0.526775874,0.537701748,0.548627622,0.559553496,0.555275105,0.550996714,0.546134157,0.541271599,0.535744448,0.530217296,0.52393598,0.517654663,0.510521028,0.503387393,0.495296469,0.487205544
BTN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BOL,0.300151423,0.301532845,0.302914268,0.30429569,0.30251863,0.300741569,0.299626863,0.298512156,0.297809765,0.297107373,0.296663512,0.29621965,0.295938646,0.295657641,0.295479533,0.295301425
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,0.495587653,0.481375307,0.46716296,0.452950613,0.444447471,0.435944328,0.428168392,0.420392456,0.413285315,0.406178174,0.399682679,0.393187184,0.387248884,0.381310583,0.375878542,0.370446501
BWA,0.30066373,0.31009746,0.31953119,0.32896492,0.324965346,0.320965771,0.318292389,0.315619007,0.313818457,0.312017906,0.310798771,0.309579636,0.308751133,0.307922629,0.307358163,0.306793697
BRA,0.118651949,0.108033897,0.097415846,0.086797794,0.082615327,0.07843286,0.07515921,0.07188556,0.069260393,0.066635225,0.064488307,0.062341388,0.060556902,0.058772415,0.057268918,0.055765421
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGR,0.244538991,0.245937982,0.247336973,0.248735964,0.245468705,0.242201446,0.239729019,0.237256592,0.235371245,0.233485898,0.232039607,0.230593316,0.229478647,0.228363978,0.227501759,0.22663954
BFA,0.676022071,0.658114141,0.640206212,0.622298282,0.608287572,0.594276862,0.583051202,0.571825542,0.562945445,0.554065348,0.54709522,0.540125092,0.53467958,0.529234067,0.524991354,0.52074864
BDI,0.849560873,0.836201745,0.822842618,0.80948349,0.800209454,0.790935418,0.78401758,0.777099742,0.772142448,0.767185153,0.763729302,0.760273451,0.757908628,0.755543804,0.753945509,0.752347213
CPV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KHM,0.753186733,0.748693465,0.744200198,0.73970693,0.730119803,0.720532676,0.711253789,0.701974902,0.693077598,0.684180294,0.67571875,0.667257205,0.659267596,0.651277986,0.643780539,0.636283092
CMR,0.404687368,0.384974735,0.365262103,0.34554947,0.337549453,0.329549436,0.322853586,0.316157735,0.310524195,0.304890654,0.300127193,0.295363731,0.291317215,0.287270699,0.283818572,0.280366444
CAN,0.166123795,0.147867591,0.129611386,0.111355181,0.101889818,0.092424454,0.084565791,0.076707128,0.070186433,0.063665737,0.058256577,0.052847417,0.048360463,0.043873508,0.040151183,0.036428857
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,0.575726351,0.573432703,0.571139054,0.568845405,0.561908389,0.554971373,0.548062913,0.541154452,0.534285815,0.527417178,0.520599048,0.513780917,0.507023344,0.50026577,0.493578128,0.486890485
TCD,0.734989952,0.705179905,0.675369857,0.645559809,0.63348539,0.62141097,0.609987822,0.598564673,0.587843623,0.577122573,0.567125838,0.557129103,0.547856279,0.538583455,0.530017298,0.521451141
CHL,0.105225769,0.087721537,0.070217306,0.052713074,0.046811713,0.040910351,0.03628617,0.031661988,0.028056518,0.024451047,0.021650729,0.018850411,0.016681977,0.014513543,0.01283832,0.011163096
CHN,0.397985221,0.410250442,0.422515662,0.434780883,0.425994485,0.417208086,0.410579516,0.403950945,0.398930054,0.393909163,0.390091082,0.386273,0.383359462,0.380445923,0.378216082,0.375986241
HKG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COL,0.195312629,0.204875258,0.214437887,0.224000516,0.217933022,0.211865527,0.204731427,0.197597326,0.189395912,0.181194498,0.172025047,0.162855595,0.152943254,0.143030912,0.132730315,0.122429718
COM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COG,0.323270491,0.324830983,0.326391474,0.327951965,0.323710173,0.319468381,0.316363104,0.313257826,0.310969802,0.308681778,0.306987501,0.305293224,0.304033832,0.30277444,0.301835595,0.30089675
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.219808089,0.247326179,0.274844268,0.302362357,0.299505574,0.296648791,0.294906371,0.29316395,0.292093003,0.291022055,0.290360639,0.289699223,0.289289504,0.288879784,0.288625503,0.288371222
CIV,0.469967804,0.456995608,0.444023411,0.431051215,0.421578766,0.412106317,0.403161839,0.39421736,0.385783444,0.377349527,0.369405126,0.361460724,0.353982451,0.346504177,0.339467336,0.332430494
HRV,0.408764062,0.393058123,0.377352185,0.361646246,0.354483199,0.347320152,0.341241704,0.335163256,0.329985603,0.324807949,0.32038127,0.315954591,0.312156699,0.308358806,0.305089778,0.301820749
CUB,0.228104556,0.228149112,0.228193667,0.228238223,0.224347199,0.220456175,0.216233148,0.21201012,0.207457464,0.202904807,0.198033736,0.193162665,0.187994721,0.182826777,0.177394967,0.171963156
CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYP,0.316551377,0.301312755,0.286074132,0.270835509,0.267919655,0.2650038,0.262575049,0.260146297,0.258115252,0.256084206,0.254379949,0.252675692,0.251241458,0.249807223,0.248597199,0.247387175
CZE,0.252017059,0.244644118,0.237271176,0.229898235,0.225830091,0.221761946,0.218292408,0.21482287,0.211846803,0.208870735,0.206304886,0.203739037,0.201516819,0.199294601,0.197362242,0.195429882
PRK,0.367795328,0.359400656,0.351005984,0.342611312,0.334810832,0.327010352,0.319818534,0.312626715,0.305990633,0.29935455,0.293224833,0.287095116,0.281426225,0.275757333,0.270507596,0.265257858
COD,0.561717973,0.579815947,0.59791392,0.616011893,0.609691814,0.603371734,0.596455453,0.589539171,0.581969307,0.574399442,0.566116398,0.557833354,0.548777155,0.539720956,0.529834077,0.519947198
DNK,0.111231107,0.103622215,0.096013322,0.088404429,0.085015657,0.081626884,0.079068206,0.076509528,0.074527632,0.072545735,0.070979771,0.069413807,0.068156818,0.066899828,0.065877956,0.064856083
DJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.202265035,0.22993007,0.257595105,0.28526014,0.283258114,0.281256088,0.279768214,0.278280339,0.277170149,0.276059958,0.275229065,0.274398172,0.273774883,0.273151593,0.272683223,0.272214852
ECU,0.342484057,0.326628114,0.310772171,0.294916228,0.293141999,0.291367769,0.290324723,0.289281677,0.28866523,0.288048782,0.287683304,0.287317826,0.287100733,0.28688364,0.286754542,0.286625444
EGY,0.564883277,0.557596555,0.550309832,0.543023109,0.538404883,0.533786657,0.528705802,0.523624947,0.518037319,0.51244969,0.506309007,0.500168323,0.493427126,0.486685929,0.479297078,0.471908227
SLV,0.27359768,0.281635361,0.289673041,0.297710721,0.294322848,0.290934974,0.28880226,0.286669546,0.285314919,0.283960292,0.283094869,0.282229446,0.281674475,0.281119504,0.280762751,0.280405997
GNQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ERI,0.619847511,0.653165022,0.686482532,0.719800043,0.707041361,0.694282679,0.680413652,0.666544624,0.651525565,0.636506506,0.620322201,0.604137896,0.586807511,0.569477125,0.551065074,0.532653023
EST,0.302463401,0.297216803,0.291970204,0.286723605,0.285086166,0.283448727,0.282224126,0.280999525,0.28008075,0.279161974,0.278470975,0.277779975,0.277259324,0.276738673,0.276345826,0.275952979
SWZ,0.748631161,0.738972321,0.729313482,0.719654642,0.708496215,0.697337787,0.686341485,0.675345182,0.664605612,0.653866042,0.643461179,0.633056316,0.623046892,0.613037467,0.603467571,0.593897674
ETH,0.779249686,0.775449372,0.771649058,0.767848744,0.758984619,0.750120493,0.742464842,0.73480919,0.728319429,0.721829668,0.716408666,0.710987663,0.706511289,0.702034915,0.698371578,0.694708241
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FIN,0.131913621,0.118997241,0.106080862,0.093164482,0.086573032,0.079981582,0.074383964,0.068786346,0.064019298,0.059252249,0.055181967,0.051111684,0.047628105,0.044144526,0.041156735,0.038168943
FRA,0.165948998,0.141647997,0.117346995,0.093045993,0.087143212,0.08124043,0.076326401,0.071412371,0.067274511,0.06313665,0.059617547,0.056098443,0.053079445,0.050060447,0.047450658,0.044840868
GUF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PYF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GAB,0.097458277,0.095836554,0.09421483,0.092593107,0.090534857,0.088476607,0.087210253,0.085943899,0.085143367,0.084342835,0.083828086,0.083313337,0.082978719,0.082644101,0.082425036,0.082205971
GMB,0.367238434,0.360296868,0.353355301,0.346413735,0.33872871,0.331043684,0.324783968,0.318524252,0.313394225,0.308264198,0.304036301,0.299808403,0.296306398,0.292804392,0.289890718,0.286977044
GEO,0.409623224,0.413776447,0.417929671,0.422082894,0.41508124,0.408079585,0.40168477,0.395289955,0.389447572,0.383605188,0.378264436,0.372923684,0.368037727,0.36315177,0.358677813,0.354203855
