SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,24477497,28760034,33323315,38335604,43879011,49863678,55977596,61767804,67335407,72754397,78169222,83395155,88115620,92168297,95293684,97537563
ALB,1824695,1701427,1588808,1512958,1429820,1326246,1201734,1063364,951353,868020,803045,739128,682793,622642,573873,533592
DZA,29377544,31902961,34391490,36517376,38033229,39090703,40350996,42056616,44417083,46710023,48187406,48748523,49017200,49476582,50274656,51128249
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,20363430,24200949,28514030,33436417,38885215,44967217,51668291,58584567,65643295,72650557,79557826,86053190,91964667,97188064,101446856,104516386
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,67509,67711,66924,66513,66486,66533,66465,66450,66494,66674,66724,66857,67071,67116,66778,66059
ARG,30196787,31490799,32492180,32872468,33024901,33251622,33524537,33586939,33674469,33832029,33956899,33999580,34252256,34837299,35334760,35695512
ARM,1787550,1729097,1711240,1684348,1627490,1528458,1405058,1300668,1250806,1210418,1158513,1089087,1025187,972895,930119,890262
ABW,72308,71658,70958,71247,72344,74163,76493,79147,81844,83178,84080,85105,86661,88097,88922,89019
AUS,17102746,17469067,17827007,17908325,18007196,17829804,17475986,17098837,16818112,16595280,16154049,15536882,14867493,14279155,13652241,12998492
AUT,5862534,5664862,5484265,5356949,5263629,5095455,4896783,4695318,4545194,4428159,4281879,4091762,3864985,3655948,3444577,3234099
AZE,7286727,7510416,7602622,7545082,7405975,7146402,6767932,6394808,6124536,5875085,5479877,4974918,4566611,4282718,4006691,3713350
BHS,300265,299872,296281,291346,289575,289049,288426,284090,279516,275396,271407,271582,273363,274610,274096,272192
BHR,1240804,1328979,1399989,1443219,1451805,1422418,1377715,1375638,1415042,1458671,1480605,1485429,1485827,1487574,1484534,1472832
BGD,120322792,126650702,131555409,135575660,138410021,139440417,139121897,137560509,135175470,132389052,130540711,129691710,128883851,127633676,126570035,125915636
BRB,186115,179977,174885,170970,169423,168241,168086,167604,167722,167916,168957,171310,173985,175957,177207,177904
BLR,6150209,5990822,5882163,5651963,5367094,5013662,4659913,4470570,4374778,4227451,4003481,3711159,3448463,3261272,3083080,2897599
BEL,7396953,7325209,7236557,7114386,7002259,6848767,6675691,6502042,6368452,6206521,5961065,5673565,5401807,5167654,4925832,4670662
BLZ,285281,308203,329819,350549,370249,385992,397311,404792,411523,418542,426851,435333,442776,448270,452661,457314
BEN,7829464,9048268,10445544,12040503,13798434,15687270,17715245,19758534,21849608,23957928,26018962,28038511,29882557,31536058,32896828,34021976
BTN,576993,607697,622459,633479,635047,627352,608776,584481,565920,547968,534017,522190,516954,509700,500071,488956
