Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,24456265,28753727,33471745,38021724,42257885,46029410,49107078,51539101,53245557,54157389,54293146,53673187,52197269,50337701,48119624,45638270
ALB,1740680,1550870,1387583,1269538,1150785,1025191,896775,774556,687891,626330,575227,524776,478879,437221,403852,375319
DZA,29329101,31819915,34286429,35893031,36439004,36119135,35546422,35214732,35279795,35094086,33897267,31671218,28943091,26603579,24784601,23222337
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,20487357,24501788,29068130,33525479,37605142,41379276,44748778,47805013,50363546,52101136,52806111,52477494,51171422,49484866,47530090,45182717
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,68116,69089,69318,69331,69131,68467,67206,65918,64348,62278,59328,55779,51912,48371,44932,41452
ARG,30198702,31528312,32586808,32669246,32156455,31401695,30397791,29116849,27712015,26175227,24358307,22267716,20209687,18681181,17299755,15974232
ARM,1729992,1628044,1575957,1523854,1449970,1349823,1242299,1158403,1116802,1078337,1027884,965412,905391,857106,817610,781581
ABW,74312,75879,77559,79544,81597,83436,84786,85964,86447,84882,81729,77646,73240,69132,64992,60628
AUS,17474148,18225189,18976394,19489197,20069457,20428890,20654127,20817649,20946749,20924830,20541178,19897472,19160440,18537940,17907031,17251342
AUT,5951606,5855499,5785442,5776933,5811847,5781490,5725271,5656944,5605053,5534036,5389884,5173778,4910607,4674205,4441465,4207184
AZE,7288869,7522847,7631774,7610710,7524070,7334274,7041055,6750153,6551491,6360231,6024292,5578876,5212677,4955986,4706081,4437818
BHS,302700,305383,305391,301869,299086,295237,289298,279161,267147,253134,236435,221324,206139,192004,177979,164130
BHR,1285928,1418762,1534017,1609410,1638043,1616331,1563619,1539553,1532628,1509374,1447955,1357768,1254885,1162934,1075078,986683
BGD,119611384,125247846,129566630,131699488,131452577,128419973,123119913,116385631,108481697,99647086,91185008,83442432,75523037,68078035,61573579,56080354
BRB,185563,179533,175058,170095,165732,160434,154997,149446,144085,137761,130340,122420,113854,105944,98568,91394
BLR,6164485,6034847,5967564,5791073,5570150,5295260,5031397,4917221,4872481,4754631,4539771,4244976,3961867,3750480,3554462,3353150
BEL,7496339,7534783,7563753,7572100,7606049,7613213,7611937,7600127,7590949,7498496,7279713,6987949,6692972,6444414,6194224,5928258
BLZ,288049,313902,338591,357549,370553,375774,373130,365255,353648,338801,321114,300741,277524,255551,235224,216584
BEN,7835950,9074970,10511559,11902475,13154972,14247088,15177721,15985294,16638329,17051977,17152744,16980075,16483556,15869412,15166981,14380593
BTN,577020,607892,623332,629363,620054,596553,558214,514535,476144,436761,398363,359161,324103,292140,262968,236005
BOL,8182375,8849961,9459802,9922334,10222958,10360660,10295027,10099835,9809475,9421685,8926342,8363222,7756475,7179588,6630849,6107874
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,2028036,1831296,1668645,1526176,1384548,1245046,1121925,1028044,950281,891059,829448,762565,696243,637867,586939,540163
BWA,1780437,1983037,2182349,2341046,2444039,2501680,2523412,2526559,2507912,2449187,2344130,2207102,2046849,1896987,1754319,1616110
BRA,151862693,153848688,155000876,153026518,148493579,141524024,133481319,125294391,116319356,107495275,98748722,89833870,80620676,73225139,66611427,60653588
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,330424,342212,349022,348817,343696,334341,323282,314791,305544,293927,280127,262865,244952,229308,215084,201377
BGR,4232911,4000795,3806036,3565210,3302778,3081415,2866941,2719285,2637787,2532304,2392527,2234446,2072061,1935169,1814954,1701175
BFA,13200316,15470408,17842194,19918881,21672326,23211280,24536447,25711368,26605737,27057434,26989835,26492202,25698102,24890546,24012085,22950422
BDI,7267721,8689526,10060929,11198881,12118784,12852777,13467689,14039910,14506791,14710676,14543095,14079805,13510750,12964860,12395531,11756443
CPV,412648,428315,439324,444145,437810,419682,393058,363226,336993,313764,289634,265056,241100,220202,202759,187743
KHM,11312468,11982768,12564843,12951189,13332679,13127374,12697654,12184350,11710938,11072595,10257999,9344932,8392150,7557464,6825540,6149899
CMR,16649182,19383166,22446985,25215218,27648489,29762280,31448898,32843403,33913408,34474537,34367739,33680454,32374267,30916117,29380171,27726925
CAN,25339537,25553522,26029165,26421927,26806634,27034184,27194638,27297326,27329510,27163917,26576682,25658479,24632106,23768774,22878590,21918639
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,3072380,3619668,4200767,4797913,5382728,5951371,6456754,6898754,7223492,7422683,7520467,7530910,7467777,7343211,7168219,6934361
