SSP2,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,1087194,1315688,1625922,2038578,2522248,3061890,3779750,4775062,5991941,7328231,8649775,9993652,11472852,13004064,14598777,16169404
ALB,497891,568555,610986,627503,626775,627636,641437,672688,689888,687888,672429,657542,636387,623820,606317,588599
DZA,3232034,4106359,5200788,6446509,7888801,9571453,11113305,12223877,12688752,12950682,13762501,15260334,17096059,18719861,19957517,20888460
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,1034935,1295993,1589030,1910818,2314417,2834150,3474953,4178363,4942053,5902514,7203795,8818844,10633437,12487012,14281730,16080718
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,11454,14673,18080,20691,22604,24257,25886,27292,28447,29267,30138,30759,31082,31093,31010,30862
ARG,5695426,6300354,6950937,7814642,8945872,10086884,11220811,12428696,13513517,14454083,15353983,16296886,17026029,17271527,17432822,17568780
ARM,403454,471895,489773,494193,502482,539095,599694,649678,652178,644335,643762,657298,667101,674924,682394,692742
ABW,19111,22992,25814,27406,28313,29012,29937,30970,31899,34102,36789,39275,41154,42647,43956,45147
AUS,4781439,5519171,6172994,6856953,7403086,8088975,8848647,9613248,10228060,10671014,11202517,11762770,12223742,12507601,12768762,13015129
AUT,1886211,2168895,2446204,2625388,2743111,2890473,3019601,3135159,3193489,3219920,3266172,3328290,3392767,3425667,3458477,3492565
AZE,888045,1212860,1478204,1656959,1824439,2066317,2371907,2615868,2695741,2700775,2813637,3011826,3103806,3089242,3081076,3098482
BHS,41737,54360,66445,79179,89043,97465,105075,115108,124439,132804,140936,144295,145551,145724,145955,146256
BHR,76337,123356,184403,260389,359395,488027,627640,715358,744424,747637,753009,761928,770084,772946,777011,781984
BGD,11534623,14046176,17093705,20835160,24883834,29524615,34462244,39451222,44564471,49689896,53437870,55593973,57298943,58730024,59547321,59627811
BRB,49996,58287,64440,69585,72439,75085,77031,79573,81702,84390,87148,89047,90885,92703,94481,96076
BLR,1716965,1881634,1949090,2025466,2122730,2276417,2438567,2463045,2396266,2359770,2378219,2454564,2508167,2511089,2520192,2535680
BEL,2436791,2724571,2981413,3194001,3354618,3515719,3669484,3825943,3935819,4042145,4199690,4365313,4482835,4553165,4624606,4697868
BLZ,23529,30731,39291,49755,61290,75168,91533,109885,128268,145676,160814,174074,186754,197868,207309,214581
BEN,444347,543553,663221,799742,957485,1159066,1396300,1676209,1988534,2350374,2790308,3315167,3959594,4652166,5350875,6048596
BTN,52341,60573,72856,87047,108656,136769,172448,208262,232065,250405,261069,267220,264626,260971,257196,253582
BOL,634591,756081,899003,1071022,1276986,1522405,1825037,2156166,2474467,2776486,3080385,3372817,3645968,3895237,4122228,4330627
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,609773,673814,713111,734758,752301,770452,781095,772996,767864,744633,725563,714056,704746,699213,694643,690589
BWA,107972,134544,165610,201818,255088,320264,380349,426370,455044,483310,522925,568333,614350,645197,663783,676252
BRA,23511268,28665616,33753538,38878883,44562494,50861793,56556529,61208753,65370223,68191306,69853996,70820301,71637893,71178333,70629835,70022144
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,33542,46932,62474,79701,96921,114435,130203,140958,149596,157248,163565,171326,178378,184380,189959,195230
BGR,1472123,1509532,1526513,1574891,1642067,1676114,1715164,1693668,1608041,1546663,1516703,1508439,1514316,1520388,1530167,1541275
BFA,621866,755198,917135,1116960,1401528,1762780,2171765,2608949,3124889,3759647,4583627,5551044,6527828,7500711,8518742,9608252
BDI,350792,403631,476637,587011,768585,1040606,1307685,1508430,1687807,1963165,2430945,3027473,3547897,3976215,4378800,4807474
CPV,37158,49253,62619,75241,90407,110291,133861,158753,178303,191496,202338,210361,215355,218236,219425,219609
KHM,1139445,1494167,1846070,2118747,2151174,2595006,3099247,3539649,3805791,4100429,4441406,4782297,5093167,5326709,5493054,5607466
CMR,817751,957822,1176675,1451892,1792608,2233606,2756581,3318423,3884898,4557773,5393571,6349566,7463514,8506157,9486069,10377095
CAN,7985702,9303803,10202827,10878894,11474466,12142189,12820246,13544361,14223397,14708555,15230339,15755651,16136564,16305371,16484079,16684741
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,158406,186612,210733,228424,245768,280776,336987,426022,568986,752967,955387,1170745,1386554,1658317,1983188,2336809
TCD,390190,491738,620688,785554,964122,1147777,1374988,1679302,2063130,2538059,3166608,3946196,4859429,5925348,7076520,8327043
CHL,2794450,3341122,3908039,4445224,4955102,5470875,6051767,6632668,7025761,7196765,7288276,7388358,7401590,7262213,7109622,6962745
